schema,table,ordinal,column,snowflake_type,snowflake_nullable,driver_arrow_type,arrow_type,parquet_physical_type
mesh_dev,dim_product_supplies,8,supply_cost,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,fct_orders,1,order_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_orders,2,location_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_orders,3,customer_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_orders,4,order_total,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,fct_orders,5,tax_paid,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,fct_orders,6,ordered_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,fct_orders,7,customer_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_orders,8,location_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_orders,9,tax_rate,"NUMBER(38,4)",YES,"decimal128(38, 4)","decimal128(38, 4)",FIXED_LEN_BYTE_ARRAY
mesh_dev,fct_orders,10,location_opened_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,fct_orders,11,ordered_month,"NUMBER(2,0)",YES,int8,int64,INT64
mesh_dev,fct_orders,12,ordered_day,"NUMBER(2,0)",YES,int8,int64,INT64
mesh_dev,fct_orders,13,ordered_year,"NUMBER(4,0)",YES,int16,int64,INT64
mesh_dev,fct_order_items,1,order_item_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_order_items,2,order_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_order_items,3,product_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_order_items,4,location_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_order_items,5,customer_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_order_items,6,order_total,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,fct_order_items,7,tax_paid,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,fct_order_items,8,ordered_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,fct_order_items,9,customer_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_order_items,10,location_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,fct_order_items,11,tax_rate,"NUMBER(38,4)",YES,"decimal128(38, 4)","decimal128(38, 4)",FIXED_LEN_BYTE_ARRAY
mesh_dev,fct_order_items,12,location_opened_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,int_orders,1,order_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,int_orders,2,location_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,int_orders,3,customer_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,int_orders,4,order_total,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,int_orders,5,tax_paid,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,int_orders,6,ordered_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,int_orders,7,customer_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,int_orders,8,location_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,int_orders,9,tax_rate,"NUMBER(38,4)",YES,"decimal128(38, 4)","decimal128(38, 4)",FIXED_LEN_BYTE_ARRAY
mesh_dev,int_orders,10,location_opened_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,stg_customers,1,customer_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_customers,2,customer_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__customers,1,customer_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__customers,2,customer_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__locations,1,location_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__locations,2,location_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__locations,3,tax_rate,"NUMBER(38,4)",YES,"decimal128(38, 4)","decimal128(38, 4)",FIXED_LEN_BYTE_ARRAY
mesh_dev,stg_jaffle_shop__locations,4,location_opened_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,stg_jaffle_shop__orders,1,order_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__orders,2,location_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__orders,3,customer_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__orders,4,order_total,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,stg_jaffle_shop__orders,5,tax_paid,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,stg_jaffle_shop__orders,6,ordered_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,stg_jaffle_shop__order_items,1,order_item_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__order_items,2,order_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__order_items,3,product_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__products,1,product_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__products,2,product_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__products,3,product_type,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__products,4,product_description,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__products,5,product_price,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,stg_jaffle_shop__products,6,is_food_item,BOOLEAN,YES,bool,bool,BOOLEAN
mesh_dev,stg_jaffle_shop__products,7,is_drink_item,BOOLEAN,YES,bool,bool,BOOLEAN
mesh_dev,stg_jaffle_shop__supplies,1,supply_uuid,TEXT(32),NO,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__supplies,2,supply_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__supplies,3,product_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__supplies,4,supply_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_jaffle_shop__supplies,5,supply_cost,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,stg_jaffle_shop__supplies,6,is_perishable_supply,BOOLEAN,YES,bool,bool,BOOLEAN
mesh_dev,stg_locations,1,location_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_locations,2,location_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_locations,3,tax_rate,"NUMBER(38,4)",YES,"decimal128(38, 4)","decimal128(38, 4)",FIXED_LEN_BYTE_ARRAY
mesh_dev,stg_locations,4,location_opened_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,stg_orders,1,order_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_orders,2,location_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_orders,3,customer_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_orders,4,order_total,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,stg_orders,5,tax_paid,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
mesh_dev,stg_orders,6,ordered_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
mesh_dev,stg_order_items,1,order_item_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_order_items,2,order_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_order_items,3,product_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_products,1,product_id,TEXT(16777216),YES,string,string,BYTE_ARRAY
mesh_dev,stg_products,2,product_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
